season,cut,team,D
2023,6,James Madison,0.008642717482529084
2023,6,Kansas,0.024506125103413177
2023,6,Kansas State,0.007318905109367187
2023,6,Kent State,-0.04367482848930275
2023,6,Kentucky,-0.012429232342184331
2023,6,LSU,0.01889396288976659
2023,6,Liberty,0.00817746852274785
2023,6,Louisiana,0.0009782186837402906
2023,6,Louisiana Tech,-0.014242267966779909
2023,6,Louisville,0.008947508648078091
2023,6,Marshall,0.0059865467867832615
2023,6,Maryland,0.007019280239083054
2023,6,Massachusetts,-0.030949950413449664
2023,6,Memphis,-0.0006098447262610475
2023,6,Miami,0.023808518364235292
2023,6,Miami (OH),0.0072163847120698356
2023,6,Michigan,0.05621475406849189
2023,6,Michigan State,-0.011689040911225726
2023,6,Middle Tennessee,-0.029856756248094928
2023,6,Minnesota,-0.004937120755686864
2023,6,Mississippi State,-0.002752459857171662
2023,6,Missouri,0.0334591415736254
2023,6,NC State,-0.0004635408541404772
2023,6,Navy,0.006189686326038418
2023,6,Nebraska,-0.0012343919385473532
2023,6,Nevada,-0.03949955328046636
2023,6,New Mexico,-0.02740952090458918
2023,6,New Mexico State,-0.007893367570290015
2023,6,North Carolina,0.004851313139019094
2023,6,North Texas,-0.024569148956810144
2023,6,Northern Illinois,-0.021506127211175435
2023,6,Northwestern,-0.02051452950237372
2023,6,Notre Dame,0.01813496218994958
2023,6,Ohio,0.015231576287076299
2023,6,Ohio State,0.02123473225720591
2023,6,Oklahoma,0.01084597776084414
2023,6,Oklahoma State,-0.008648360190985985
2023,6,Old Dominion,-0.023304856951305745
2023,6,Ole Miss,0.00973426207507349
2023,6,Oregon,0.024187268180082568
2023,6,Oregon State,0.024673428085493148
2023,6,Penn State,0.014990430041720102
2023,6,Pittsburgh,-0.019061857198865745
2023,6,Purdue,-0.004462680107714573
2023,6,Rice,-0.022902272384291322
2023,6,Rutgers,0.013387273696230016
2023,6,SMU,0.0010647650652227732
2023,6,Sam Houston,-0.03397853512554422
2023,6,San Diego State,-0.041333021937569
2023,6,San José State,-0.02091608018815427
2023,6,South Alabama,0.012728654128591654
2023,6,South Carolina,-0.006157295273733429
2023,6,South Florida,-0.03599077390120137
2023,6,Southern Miss,-0.01776296132840812
2023,6,Stanford,-0.019801341774010755
2023,6,Syracuse,-0.012549799338432432
2023,6,TCU,-0.0033744882677589063
2023,6,Temple,-0.029841470966248257
2023,6,Tennessee,0.02416341230495181
2023,6,Texas,0.018414506968457194
2023,6,Texas A&M,0.008675457759370153
2023,6,Texas State,-0.0038312256567832733
2023,6,Texas Tech,0.00877563510063736
2023,6,Toledo,0.008465821206229187
2023,6,Troy,-0.01114354477256387
2023,6,Tulane,0.010281928986830002
2023,6,Tulsa,-0.006432666061137283
2023,6,UAB,-0.01619662207000859
2023,6,UCF,0.005318930264354183
2023,6,UCLA,0.01920833647226552
2023,6,UConn,0.003290819641375137
2023,6,UL Monroe,-0.011260032503128061
2023,6,UNLV,-0.01923227629874221
2023,6,USC,0.008266693999169463
2023,6,UTEP,-0.011694402598859014
2023,6,UTSA,-0.01407604940392453
2023,6,Utah,0.0007355780092468606
2023,6,Utah State,-0.020245313220029117
2023,6,Vanderbilt,-0.010985795713877594
2023,6,Virginia,-0.016307216483979967
2023,6,Virginia Tech,-0.01402287288570096
2023,6,Wake Forest,0.0017136259238094988
2023,6,Washington,0.020451658516674555
2023,6,Washington State,-0.00574105114295261
2023,6,West Georgia,-0.0029585985775996996
2023,6,West Virginia,0.002641843869951971
2023,6,Western Kentucky,-0.01413178165203271
2023,6,Western Michigan,-0.021775409510033858
2023,6,Wisconsin,0.0017417072781468722
2023,6,Wyoming,0.014695321417989266
