season,team,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct
2021,Troy,11,3.5,0.3181818181818182,4,0.36363636363636365
2021,UConn,10,1.0,0.1,0,0.0
2021,North Texas,12,4.5,0.375,5,0.4166666666666667
2021,Liberty,12,7.5,0.625,7,0.5833333333333334
2021,South Alabama,11,5.5,0.5,4,0.36363636363636365
2021,Florida State,11,5.0,0.45454545454545453,5,0.45454545454545453
2021,Georgia Tech,11,3.5,0.3181818181818182,2,0.18181818181818182
2021,UTSA,13,8.0,0.6153846153846154,11,0.8461538461538461
2021,Western Kentucky,13,10.0,0.7692307692307693,8,0.6153846153846154
2021,Navy,12,4.5,0.375,4,0.3333333333333333
2021,Marshall,12,7.5,0.625,6,0.5
2021,Illinois,12,5.5,0.4583333333333333,5,0.4166666666666667
2021,Florida International,11,1.0,0.09090909090909091,0,0.0
2021,Texas State,11,3.0,0.2727272727272727,4,0.36363636363636365
2021,Virginia Tech,12,5.5,0.4583333333333333,5,0.4166666666666667
2021,Middle Tennessee,12,6.0,0.5,6,0.5
2021,SMU,11,7.0,0.6363636363636364,7,0.6363636363636364
2021,Houston,13,9.0,0.6923076923076923,11,0.8461538461538461
2021,Boise State,12,8.5,0.7083333333333334,7,0.5833333333333334
2021,Army,12,7.5,0.625,8,0.6666666666666666
2021,Texas Tech,12,6.0,0.5,6,0.5
2021,Old Dominion,12,5.5,0.4583333333333333,5,0.4166666666666667
2021,Air Force,12,9.0,0.75,9,0.75
2021,App State,13,9.0,0.6923076923076923,9,0.6923076923076923
2021,Buffalo,11,3.5,0.3181818181818182,3,0.2727272727272727
2021,Indiana,11,1.5,0.13636363636363635,1,0.09090909090909091
2021,UNLV,11,4.5,0.4090909090909091,2,0.18181818181818182
2021,Michigan State,12,8.0,0.6666666666666666,10,0.8333333333333334
2021,Wake Forest,13,9.0,0.6923076923076923,10,0.7692307692307693
2021,Northern Illinois,13,6.0,0.46153846153846156,8,0.6153846153846154
2021,Ohio,11,3.5,0.3181818181818182,3,0.2727272727272727
2021,Syracuse,11,4.5,0.4090909090909091,4,0.36363636363636365
2021,Massachusetts,10,1.0,0.1,1,0.1
2021,Notre Dame,13,10.0,0.7692307692307693,11,0.8461538461538461
2021,North Carolina,12,5.5,0.4583333333333333,5,0.4166666666666667
2021,Rutgers,12,4.0,0.3333333333333333,4,0.3333333333333333
2021,Virginia,11,4.0,0.36363636363636365,5,0.45454545454545453
2021,UCF,12,7.0,0.5833333333333334,8,0.6666666666666666
2021,Northwestern,11,3.0,0.2727272727272727,2,0.18181818181818182
2021,Western Michigan,12,6.0,0.5,7,0.5833333333333334
2021,Temple,11,1.5,0.13636363636363635,2,0.18181818181818182
2021,West Virginia,12,4.5,0.375,5,0.4166666666666667
2021,Kansas,11,1.5,0.13636363636363635,1,0.09090909090909091
2021,BYU,12,7.5,0.625,9,0.75
2021,Toledo,12,8.5,0.7083333333333334,6,0.5
2021,Purdue,13,8.0,0.6153846153846154,9,0.6923076923076923
2021,Wisconsin,13,8.0,0.6153846153846154,9,0.6923076923076923
2021,Cincinnati,13,11.0,0.8461538461538461,12,0.9230769230769231
2021,USC,12,4.0,0.3333333333333333,4,0.3333333333333333
2021,Nebraska,11,6.0,0.5454545454545454,2,0.18181818181818182
2021,Maryland,12,4.5,0.375,6,0.5
2021,Minnesota,13,9.0,0.6923076923076923,9,0.6923076923076923
2021,Iowa,14,8.5,0.6071428571428571,10,0.7142857142857143
2021,Michigan,14,11.0,0.7857142857142857,12,0.8571428571428571
2021,Ohio State,13,11.0,0.8461538461538461,11,0.8461538461538461
2021,Iowa State,12,8.0,0.6666666666666666,6,0.5
2021,Washington,11,4.5,0.4090909090909091,4,0.36363636363636365
2021,Miami (OH),12,7.5,0.625,6,0.5
2021,Oklahoma,12,7.5,0.625,10,0.8333333333333334
2021,Oregon,13,7.5,0.5769230769230769,9,0.6923076923076923
2021,Tulsa,12,6.0,0.5,7,0.5833333333333334
2021,Ball State,12,5.0,0.4166666666666667,5,0.4166666666666667
2021,Oregon State,12,6.0,0.5,6,0.5
2021,Eastern Michigan,12,6.0,0.5,6,0.5
2021,Fresno State,12,8.0,0.6666666666666666,9,0.75
2021,Wyoming,12,5.5,0.4583333333333333,6,0.5
2021,Louisiana,13,9.0,0.6923076923076923,12,0.9230769230769231
2021,Coastal Carolina,12,9.0,0.75,10,0.8333333333333334
2021,Kansas State,12,7.5,0.625,7,0.5833333333333334
2021,Baylor,13,9.5,0.7307692307692307,11,0.8461538461538461
2021,Oklahoma State,13,9.5,0.7307692307692307,11,0.8461538461538461
2021,TCU,11,3.5,0.3181818181818182,4,0.36363636363636365
2021,California,11,6.5,0.5909090909090909,4,0.36363636363636365
