team,roster_position,broad_group,group_source,bio_group,unit,depth,player,class,is_transfer,redshirt,projected_slot
Auburn,NT,DT,label,DT,DEF,4,Corey Wells,FR,False,False,7.0
Auburn,DE,EDGE,label,EDGE,DEF,4,Joe Phillips,SO,False,True,4.0
Arkansas State,RB,RB,label,RB,OFF,4,Ezell Jolly,JR,True,True,4.0
Arkansas State,QB,QB,label,QB,OFF,4,Jérémy St-Hilaire,SO,True,True,4.0
UConn,LDE,EDGE,label,EDGE,DEF,4,Odera Orizu,JR,True,True,7.0
Ball State,WR-X,WR,label,WR,OFF,4,Eli Hohlt,JR,False,True,10.0
Tulane,MLB,LB,label,LB,DEF,4,Dylan Brasher,FR,False,False,7.0
Tulane,LCB,CB,label,CB,DEF,4,Lawrence Moton,FR,False,False,7.0
Auburn,BUCK,EDGE,default,,DEF,4,Jaquez Wilkes,FR,False,False,4.0
Auburn,NB,CB,default,,DEF,4,Cade Carlson,SO,False,True,11.0
Auburn,SS,SAF,label,SAF,DEF,4,Damonte Tabb,FR,False,False,10.0
UConn,RCB,CB,label,CB,DEF,4,Shmar Akande,FR,False,False,6.0
UConn,MLB,LB,label,LB,DEF,4,Tyrique Harris,FR,False,False,7.0
UConn,FS,SAF,label,SAF,DEF,4,Grant Blascak,FR,False,False,9.0
Tulsa,RB,RB,label,RB,OFF,4,Trequan Jones,SR,True,False,4.0
Tulsa,QB,QB,label,QB,OFF,4,Kyden Barker,FR,False,False,4.0
Auburn,RCB,CB,label,CB,DEF,4,Devin Williams,FR,False,True,8.0
Auburn,LCB,CB,label,CB,DEF,4,Scrap Richardson,FR,True,True,7.0
Auburn,MLB,LB,label,LB,DEF,4,Shadarius Toodle,FR,False,False,8.0
Auburn,WLB,LB,label,LB,DEF,4,Coleman Granberry,JR,False,True,7.0
Auburn,DT,DT,label,DT,DEF,4,Tavian Branch,FR,False,False,8.0
