team,season,games,wins,win_pct,margin_pg,pf_pg,pa_pg,conference
Arkansas,2019,12,2,0.16666666666666666,-15.416666666666666,21.416666666666668,36.833333333333336,SEC
Arkansas,2021,13,9,0.6923076923076923,8.0,30.923076923076923,22.923076923076923,SEC
Arkansas,2022,13,7,0.5384615384615384,1.9230769230769231,32.53846153846154,30.615384615384617,SEC
Arkansas,2023,12,4,0.3333333333333333,-1.3333333333333333,26.583333333333332,27.916666666666668,SEC
Arkansas,2024,13,7,0.5384615384615384,5.923076923076923,30.923076923076923,25.0,SEC
Arkansas,2025,12,2,0.16666666666666666,-0.9166666666666666,32.916666666666664,33.833333333333336,SEC
Arkansas State,2014,13,7,0.5384615384615384,6.230769230769231,36.69230769230769,30.46153846153846,SBC
Arkansas State,2015,13,9,0.6923076923076923,9.76923076923077,40.0,30.23076923076923,SBC
Arkansas State,2016,13,8,0.6153846153846154,5.846153846153846,27.307692307692307,21.46153846153846,SBC
Arkansas State,2017,12,7,0.5833333333333334,12.083333333333334,37.833333333333336,25.75,SBC
Arkansas State,2018,13,8,0.6153846153846154,4.6923076923076925,30.307692307692307,25.615384615384617,SBC
Arkansas State,2019,13,8,0.6153846153846154,-0.46153846153846156,33.69230769230769,34.15384615384615,SBC
Arkansas State,2021,12,2,0.16666666666666666,-13.333333333333334,25.25,38.583333333333336,SBC
Arkansas State,2022,12,3,0.25,-6.416666666666667,25.0,31.416666666666668,SBC
Arkansas State,2023,13,6,0.46153846153846156,-3.3076923076923075,27.076923076923077,30.384615384615383,SBC
Arkansas State,2024,13,8,0.6153846153846154,-6.3076923076923075,25.846153846153847,32.15384615384615,SBC
Arkansas State,2025,13,7,0.5384615384615384,-2.230769230769231,25.153846153846153,27.384615384615383,Sun Belt
Army,2014,12,4,0.3333333333333333,-8.0,24.916666666666668,32.916666666666664,Ind
Army,2015,12,2,0.16666666666666666,-5.75,22.083333333333332,27.833333333333332,Ind
Army,2016,13,8,0.6153846153846154,10.076923076923077,29.923076923076923,19.846153846153847,Ind
Army,2017,13,10,0.7692307692307693,8.692307692307692,30.692307692307693,22.0,Ind
Army,2018,13,11,0.8461538461538461,15.076923076923077,32.76923076923077,17.692307692307693,Ind
Army,2019,13,5,0.38461538461538464,5.461538461538462,28.46153846153846,23.0,Ind
Army,2021,13,9,0.6923076923076923,10.538461538461538,32.84615384615385,22.307692307692307,Ind
Army,2022,12,6,0.5,6.083333333333333,28.583333333333332,22.5,Ind
Army,2023,12,6,0.5,-0.5833333333333334,20.5,21.083333333333332,Ind
Army,2024,14,12,0.8571428571428571,15.571428571428571,31.071428571428573,15.5,AAC
Army,2025,13,7,0.5384615384615384,2.230769230769231,23.846153846153847,21.615384615384617,American Athletic
Auburn,2014,13,8,0.6153846153846154,8.76923076923077,35.46153846153846,26.692307692307693,SEC
Auburn,2015,13,7,0.5384615384615384,1.4615384615384615,27.46153846153846,26.0,SEC
Auburn,2016,13,8,0.6153846153846154,14.153846153846153,31.23076923076923,17.076923076923077,SEC
Auburn,2017,14,10,0.7142857142857143,15.357142857142858,33.857142857142854,18.5,SEC
Auburn,2018,13,8,0.6153846153846154,11.76923076923077,30.923076923076923,19.153846153846153,SEC
Auburn,2019,13,9,0.6923076923076923,13.692307692307692,33.23076923076923,19.53846153846154,SEC
Auburn,2021,13,6,0.46153846153846156,6.538461538461538,28.307692307692307,21.76923076923077,SEC
Auburn,2022,12,5,0.4166666666666667,-4.75,24.75,29.5,SEC
Auburn,2023,13,6,0.46153846153846156,3.5384615384615383,26.153846153846153,22.615384615384617,SEC
Auburn,2024,12,5,0.4166666666666667,6.416666666666667,27.75,21.333333333333332,SEC
Auburn,2025,12,5,0.4166666666666667,6.083333333333333,26.75,20.666666666666668,SEC
BYU,2014,13,8,0.6153846153846154,9.538461538461538,37.07692307692308,27.53846153846154,Ind
BYU,2015,13,9,0.6923076923076923,10.846153846153847,33.69230769230769,22.846153846153847,Ind
BYU,2016,13,9,0.6923076923076923,10.0,29.53846153846154,19.53846153846154,Ind
BYU,2017,13,4,0.3076923076923077,-7.615384615384615,17.076923076923077,24.692307692307693,Ind
BYU,2018,13,7,0.5384615384615384,5.846153846153846,27.23076923076923,21.384615384615383,Ind
BYU,2019,13,7,0.5384615384615384,3.0,28.46153846153846,25.46153846153846,Ind
BYU,2021,13,10,0.7692307692307693,8.307692307692308,33.07692307692308,24.76923076923077,Ind
BYU,2022,13,8,0.6153846153846154,1.8461538461538463,31.307692307692307,29.46153846153846,Ind
BYU,2023,12,5,0.4166666666666667,-6.75,23.083333333333332,29.833333333333332,B12
BYU,2024,13,11,0.8461538461538461,11.538461538461538,31.153846153846153,19.615384615384617,B12
BYU,2025,14,12,0.8571428571428571,12.285714285714286,31.428571428571427,19.142857142857142,Big 12
Ball State,2014,12,5,0.4166666666666667,0.5,27.666666666666668,27.166666666666668,MAC
Ball State,2015,12,3,0.25,-12.75,23.083333333333332,35.833333333333336,MAC
Ball State,2016,12,4,0.3333333333333333,-3.0833333333333335,27.0,30.083333333333332,MAC
Ball State,2017,12,2,0.16666666666666666,-22.75,17.916666666666668,40.666666666666664,MAC
Ball State,2018,12,4,0.3333333333333333,-8.25,24.166666666666668,32.416666666666664,MAC
Ball State,2019,12,5,0.4166666666666667,3.4166666666666665,34.833333333333336,31.416666666666668,MAC
Ball State,2021,13,6,0.46153846153846156,-4.3076923076923075,24.076923076923077,28.384615384615383,MAC
Ball State,2022,12,5,0.4166666666666667,-3.6666666666666665,23.25,26.916666666666668,MAC
Ball State,2023,12,4,0.3333333333333333,-6.166666666666667,18.25,24.416666666666668,MAC
Ball State,2024,12,3,0.25,-14.75,25.333333333333332,40.083333333333336,MAC
Ball State,2025,12,4,0.3333333333333333,-14.0,15.833333333333334,29.833333333333332,Mid-American
