season,team,war,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct,implied_wins
2016,Nevada,1.7377225613100427,11,4.0,0.3636363636363636,4,0.3636363636363636,
2016,New Mexico,2.3061768280163952,12,6.0,0.5,8,0.6666666666666666,
2016,New Mexico State,1.6131883529171585,12,3.0,0.25,3,0.25,
2016,North Carolina,5.431173448358978,11,6.0,0.5454545454545454,6,0.5454545454545454,
2016,North Texas,2.2514648751538675,12,3.5,0.2916666666666667,4,0.3333333333333333,
2016,Northern Illinois,4.376801551132095,11,5.5,0.5,5,0.4545454545454545,
2016,Northwestern,5.285780705575854,12,7.0,0.5833333333333334,7,0.5833333333333334,
2016,Notre Dame,4.109294254933636,12,7.0,0.5833333333333334,4,0.3333333333333333,
2016,Ohio,4.919028239000999,13,7.5,0.5769230769230769,7,0.5384615384615384,
2016,Ohio State,6.932576609274344,13,9.5,0.7307692307692307,11,0.8461538461538461,
2016,Oklahoma,6.883046083750736,13,9.5,0.7307692307692307,11,0.8461538461538461,
2016,Oklahoma State,6.31378685394831,12,7.5,0.625,9,0.75,
2016,Old Dominion,3.827757555518888,12,8.5,0.7083333333333334,9,0.75,
2016,Ole Miss,5.412346973340659,11,4.5,0.4090909090909091,4,0.3636363636363636,
2016,Oregon,5.128317570072981,11,4.0,0.3636363636363636,3,0.2727272727272727,
2016,Oregon State,3.2468902530678285,11,4.0,0.3636363636363636,3,0.2727272727272727,
2016,Penn State,5.926062899585522,14,10.0,0.7142857142857143,11,0.7857142857142857,
2016,Pittsburgh,5.917749918461523,12,7.5,0.625,7,0.5833333333333334,
2016,Purdue,2.871680035974438,11,2.0,0.1818181818181818,2,0.1818181818181818,
2016,Rice,2.016578622921351,11,2.5,0.2272727272727272,2,0.1818181818181818,
2016,Rutgers,2.674867744419273,11,2.5,0.2272727272727272,1,0.0909090909090909,
2016,SMU,3.6067609566462213,11,4.5,0.4090909090909091,4,0.3636363636363636,
2016,San Diego State,5.15271807756602,13,9.5,0.7307692307692307,10,0.7692307692307693,
2016,San José State,2.13489544706229,11,2.5,0.2272727272727272,3,0.2727272727272727,
2016,South Alabama,2.6341420121057673,11,4.5,0.4090909090909091,4,0.3636363636363636,
2016,South Carolina,4.912580961393845,12,4.0,0.3333333333333333,5,0.4166666666666667,
2016,South Florida,5.460989002166283,12,8.0,0.6666666666666666,10,0.8333333333333334,
2016,Southern Miss,3.198900274374088,12,6.5,0.5416666666666666,6,0.5,
2016,Stanford,5.301867878414294,13,9.5,0.7307692307692307,10,0.7692307692307693,
2016,Syracuse,3.7452187431195196,11,2.0,0.1818181818181818,3,0.2727272727272727,
2016,TCU,5.491387506659087,12,6.5,0.5416666666666666,5,0.4166666666666667,
2016,Temple,3.95307800439438,13,10.0,0.7692307692307693,9,0.6923076923076923,
2016,Tennessee,4.8646731173976,12,8.0,0.6666666666666666,8,0.6666666666666666,
2016,Texas,5.322040325364522,12,6.0,0.5,5,0.4166666666666667,
2016,Texas A&M,5.579708785450437,12,7.5,0.625,7,0.5833333333333334,
2016,Texas State,1.2269200606864308,11,1.0,0.0909090909090909,1,0.0909090909090909,
2016,Texas Tech,4.969450564780347,11,5.5,0.5,4,0.3636363636363636,
2016,Toledo,5.696396769480015,12,8.5,0.7083333333333334,8,0.6666666666666666,
2016,Troy,4.355204231838629,12,8.0,0.6666666666666666,9,0.75,
2016,Tulane,2.463371258199979,11,3.5,0.3181818181818182,3,0.2727272727272727,
2016,Tulsa,4.7680573590307995,12,8.5,0.7083333333333334,9,0.75,
2016,UCF,4.530228985082686,12,6.0,0.5,5,0.4166666666666667,
2016,UCLA,4.618454437993455,12,5.5,0.4583333333333333,4,0.3333333333333333,
2016,UConn,2.871377741846597,11,3.0,0.2727272727272727,2,0.1818181818181818,
2016,UL Monroe,1.2616436489389986,11,3.0,0.2727272727272727,3,0.2727272727272727,
2016,UNLV,2.6150809347883675,11,3.0,0.2727272727272727,3,0.2727272727272727,
2016,USC,5.738412617962276,13,9.5,0.7307692307692307,10,0.7692307692307693,
2016,UTEP,2.7618579229132174,11,3.0,0.2727272727272727,3,0.2727272727272727,
2016,UTSA,3.034687932414624,12,6.0,0.5,5,0.4166666666666667,
2016,Utah,4.447101063216691,12,7.5,0.625,8,0.6666666666666666,
2016,Utah State,2.2109104123314833,11,4.0,0.3636363636363636,2,0.1818181818181818,
2016,Vanderbilt,3.905481747695814,12,6.0,0.5,5,0.4166666666666667,
2016,Virginia,3.4329890923322144,11,3.5,0.3181818181818182,2,0.1818181818181818,
2016,Virginia Tech,6.888083098098383,13,8.0,0.6153846153846154,9,0.6923076923076923,
2016,Wake Forest,3.950638216723337,12,5.0,0.4166666666666667,6,0.5,
2016,Washington,6.7535605164409,13,10.0,0.7692307692307693,11,0.8461538461538461,
2016,Washington State,5.647452044053967,12,7.5,0.625,8,0.6666666666666666,
2016,West Virginia,5.92535855377749,12,7.0,0.5833333333333334,9,0.75,
2016,Western Kentucky,6.8014523371886115,13,10.0,0.7692307692307693,10,0.7692307692307693,
2016,Western Michigan,5.45429461339827,13,11.5,0.8846153846153846,12,0.9230769230769232,
2016,Wisconsin,6.3562489521681735,14,10.0,0.7142857142857143,11,0.7857142857142857,
2016,Wyoming,3.444161057853022,13,7.0,0.5384615384615384,7,0.5384615384615384,
2017,Air Force,3.679825465512166,11,3.5,0.3181818181818182,4,0.3636363636363636,
2017,Akron,2.332840335719519,13,5.0,0.3846153846153846,6,0.4615384615384615,
2017,Alabama,8.864125292835878,13,10.5,0.8076923076923077,12,0.9230769230769232,
2017,App State,3.627286681989066,12,8.0,0.6666666666666666,8,0.6666666666666666,
2017,Arizona,5.169776258555499,12,6.5,0.5416666666666666,6,0.5,
2017,Arizona State,6.452248727149036,13,6.5,0.5,7,0.5384615384615384,
2017,Arkansas,4.708070380099676,11,3.5,0.3181818181818182,3,0.2727272727272727,
2017,Arkansas State,3.066194767980092,11,8.0,0.7272727272727273,6,0.5454545454545454,
2017,Army,3.9430328497788287,12,7.0,0.5833333333333334,9,0.75,
2017,Auburn,7.292747490664714,13,10.5,0.8076923076923077,9,0.6923076923076923,
2017,BYU,-0.1168162470406634,12,4.5,0.375,3,0.25,
2017,Ball State,1.0486887062645873,11,1.5,0.1363636363636363,1,0.0909090909090909,
2017,Baylor,3.8240718455540805,11,2.5,0.2272727272727272,1,0.0909090909090909,
2017,Boise State,6.198583297902477,14,10.5,0.75,11,0.7857142857142857,
2017,Boston College,6.179244060448773,13,7.0,0.5384615384615384,7,0.5384615384615384,
2017,Bowling Green,2.1075695911610453,11,2.0,0.1818181818181818,2,0.1818181818181818,
2017,Buffalo,3.531266234868904,11,6.0,0.5454545454545454,5,0.4545454545454545,
2017,California,4.820845282320079,11,5.0,0.4545454545454545,4,0.3636363636363636,
2017,Central Michigan,4.5993177341372125,12,5.5,0.4583333333333333,7,0.5833333333333334,
2017,Charlotte,0.8873947835108105,11,1.5,0.1363636363636363,1,0.0909090909090909,
2017,Cincinnati,3.346185395866447,11,2.0,0.1818181818181818,3,0.2727272727272727,
2017,Clemson,8.345873295908408,13,10.5,0.8076923076923077,11,0.8461538461538461,
2017,Coastal Carolina,0.14729662767483603,11,5.0,0.4545454545454545,3,0.2727272727272727,
2017,Colorado,4.197451694661926,11,4.5,0.4090909090909091,4,0.3636363636363636,
2017,Colorado State,5.6634112356426245,12,6.5,0.5416666666666666,6,0.5,
2017,Duke,5.74363441859961,12,7.5,0.625,6,0.5,
2017,East Carolina,2.55136629876386,11,3.0,0.2727272727272727,3,0.2727272727272727,
2017,Eastern Michigan,1.8726088868557,12,6.5,0.5416666666666666,5,0.4166666666666667,
2017,Florida,2.3870005420043148,11,4.5,0.4090909090909091,4,0.3636363636363636,
2017,Florida Atlantic,5.3424370077548815,13,10.0,0.7692307692307693,10,0.7692307692307693,
2017,Florida International,2.4299738953091876,12,6.0,0.5,7,0.5833333333333334,
2017,Florida State,5.661189265208498,12,6.0,0.5,6,0.5,
2017,Fresno State,6.1104115677848565,13,8.0,0.6153846153846154,9,0.6923076923076923,
2017,Georgia,7.2346484144987935,14,11.5,0.8214285714285714,12,0.8571428571428571,
2017,Georgia Southern,0.5070636236906612,11,3.0,0.2727272727272727,2,0.1818181818181818,
2017,Georgia State,1.2507937003292835,11,5.0,0.4545454545454545,7,0.6363636363636364,
2017,Georgia Tech,3.589315115544764,10,5.0,0.5,4,0.4,
2017,Hawai'i,2.531302016712881,11,2.5,0.2272727272727272,2,0.1818181818181818,
2017,Houston,4.7821395260494155,12,7.5,0.625,7,0.5833333333333334,
2017,Idaho,1.9598429019645005,11,4.5,0.4090909090909091,3,0.2727272727272727,
2017,Illinois,0.6752238557827531,12,2.0,0.1666666666666666,2,0.1666666666666666,
2017,Indiana,3.9521797455282015,11,6.0,0.5454545454545454,4,0.3636363636363636,
2017,Iowa,5.64632968935903,13,8.0,0.6153846153846154,8,0.6153846153846154,
2017,Iowa State,6.229135843814443,12,7.5,0.625,7,0.5833333333333334,
2017,Kansas,3.919931164954969,11,0.0,0.0,0,0.0,
2017,Kansas State,6.127174244830981,12,7.5,0.625,7,0.5833333333333334,
2017,Kent State,1.593598761810814,11,0.5,0.0454545454545454,1,0.0909090909090909,
2017,Kentucky,2.5257993154286025,12,5.5,0.4583333333333333,6,0.5,
2017,LSU,6.349974482035075,12,8.0,0.6666666666666666,8,0.6666666666666666,
2017,Louisiana,2.1470356021925228,11,3.5,0.3181818181818182,4,0.3636363636363636,
2017,Louisiana Tech,2.523918858630102,12,7.5,0.625,6,0.5,
2017,Louisville,5.771192099172192,12,7.0,0.5833333333333334,7,0.5833333333333334,
2017,Marshall,3.926420717450383,13,8.0,0.6153846153846154,8,0.6153846153846154,
2017,Maryland,2.9152788478385294,11,2.5,0.2272727272727272,3,0.2727272727272727,
2017,Massachusetts,3.3417872226276013,11,4.0,0.3636363636363636,3,0.2727272727272727,
2017,Memphis,5.711532128023661,12,8.0,0.6666666666666666,9,0.75,
2017,Miami,6.205614663725845,12,7.0,0.5833333333333334,9,0.75,
2017,Miami (OH),2.833697022436353,11,6.5,0.5909090909090909,4,0.3636363636363636,
2017,Michigan,5.776320532653147,13,8.5,0.6538461538461539,8,0.6153846153846154,
2017,Michigan State,4.71673677524336,13,8.0,0.6153846153846154,10,0.7692307692307693,
2017,Middle Tennessee,2.7881010995825806,13,7.0,0.5384615384615384,7,0.5384615384615384,
