id,player,team,position,group,overall,key,waa,war,snaps
33229,Roger Saleapaga II,BYU,TE,TE,78,roger saleapaga,-0.00013106425545700295,0.05181005078597634,156.0
33233,Trent Ferguson,Oregon,LG,OL,78,trent ferguson,0.006250191802068381,0.016182294990695994,91.0
33234,Tionne Gray,Notre Dame,DT,DT,77,tionne gray,0.00922017704057466,0.03224605943337094,118.0
33235,Dillon Gresham,Oregon,WR,WR,74,dillon gresham,-0.010628799783262205,-0.0022358544870224356,37.5
33236,Trinidad Chambliss,Ole Miss,QB,QB,93,trinidad chambliss,2.012311925160562,2.647933140952111,697.0
33237,Connor Meadows,UCF,RG,OL,75,connor meadows,-0.028585496529148074,0.04208523769762532,647.5
33240,Samuel Mbake,App State,WR,WR,75,samuel mbake,-0.00033391697270082187,0.12466501497263015,558.5
33241,Trey Smith,Purdue,LEDG,EDGE,70,trey smith,-0.009316354193388231,-0.002096374121070755,37.0
33242,Breeon Ishmail,Purdue,REDG,EDGE,75,breeon ishmail,0.05492352161309683,0.1150249773502261,308.0
33243,John Randle Jr.,Utah State,LT,OL,72,john randle,-0.10513822201962875,-0.04876535062483576,516.5
33244,Ethan Trent,Purdue,RG,OL,74,ethan trent,-0.0514508585343184,0.019219875692454997,647.5
33245,Jesse Watson,Purdue,WR,WR,74,jesse watson,-0.010187214747846441,-0.0017942694516066718,37.5
33249,Ty Yuhas,Pittsburgh,DT,DT,74,ty yuhas,-0.016267095926905395,0.006758786465890881,118.0
33250,Marcus Brown,Stanford,WR,WR,74,marcus brown,-0.02017017556964886,-0.011777230273409094,37.5
33251,Jordan Onovughe,Stanford,WR,WR,75,jordan onovughe,-0.05619306818114129,-0.03213329166525395,107.5
33253,Davien Kerr,Syracuse,CB,CB,78,davien kerr,0.014793843963349757,0.08359583953456358,374.5
33258,Rylan Barnes,Iowa State,SAM,LB,71,rylan barnes,-0.02800459294655461,0.06270429731366686,311.5
33259,Carson Brown,Hawai'i,WR,WR,75,carson brown,-0.0053599311472079005,0.03302380534092865,171.5
33260,Alijah Carnell,Penn State,DT,DT,72,alijah carnell,-0.007643617098892898,0.00035690135962106065,41.0
33263,Gabriel Greenlee,Iowa State,LT,OL,72,gabriel greenlee,-0.016683745407961897,-0.006751642219334284,91.0
33264,Tripp Walsh,New Mexico,TE,TE,70,tripp walsh,-0.04968113984222715,0.0022599751992062045,156.0
33268,Corey McIntyre Jr.,West Virginia,DT,DT,73,corey mcintyre,-0.058036318664966384,-0.016862918793101856,211.0
33271,Darius Grimes,Maryland,SAM,LB,67,darius grimes,-0.0024180758781052075,0.019713146143650273,76.0
33272,DD Holmes,Maryland,LEDG,EDGE,70,dd holmes,-0.011524419787716664,0.01101362611370681,115.5
33273,Judah Jenkins,Maryland,CB,CB,71,judah jenkins,-0.0184875336421627,-0.011873723654008635,36.0
33277,Chris Wells,Maryland,SAM,LB,66,chris wells,-0.02493307397655091,-0.01590586499399275,31.0
33278,Jack Yanachik,Michigan State,WR,WR,70,jack yanachik,-0.022061771647528053,-0.013668826351288285,37.5
33279,Cooper Terpstra,UCF,C,OL,70,cooper terpstra,-0.00537955624968333,0.004552546938944283,91.0
33281,Anelu Lafaele,Michigan State,REDG,EDGE,73,anelu lafaele,0.051511982475056964,0.11161343821218622,308.0
33283,Donovan Jones,Nebraska,CB,CB,82,donovan jones,0.2907025226407401,0.38917480468658944,536.0
33288,Quinn Clark,Nebraska,WR,WR,73,quinn clark,-0.00988750512770377,-0.0014945598314640009,37.5
33290,Amare Sanders,Nebraska,CB,CB,74,amare sanders,-0.011726735711634151,0.030528161434905707,230.0
33292,Mekhi Nelson,Nebraska,HB,RB,78,mekhi nelson,-0.03623184155535937,0.13175218721452026,239.5
33293,Jason Maciejczak,Wyoming,RG,OL,73,jason maciejczak,-0.0001564511682885601,0.07875465438531325,723.0
33296,Blaise Sokach-Minnick,Penn State,TE,TE,56,blaise sokach minnick,-0.024703892620673167,-0.020042510501570174,14.0
33297,Kenny Woseley Jr.,Virginia Tech,CB,CB,74,kenny woseley,-0.008253295175465795,-0.0016394851873117306,36.0
33298,Joey Schlaffer,Temple,TE,TE,69,joey schlaffer,-0.02067027723540161,0.003968456822714213,74.0
33301,Kolin Dinkins,Temple,SS,SAF,74,kolin dinkins,-0.06528878728547403,0.002778340509278214,370.5
33303,Max Granville,Penn State,REDG,EDGE,76,max granville,0.1253078398557689,0.2096059855649892,432.0
33304,Tyler Armstead,Penn State,CB,CB,72,tyler armstead,-0.012999114941125314,-0.006385304952971249,36.0
33306,Ty Blanding,Penn State,DT,DT,75,ty blanding,0.004784354469668302,0.027810236862464578,118.0
33308,Jailen Holmes,UAB,WR,WR,68,jailen holmes,-0.026591118185945624,-0.018198172889705856,37.5
33310,Drake Vickers,Oregon State,CB,CB,72,drake vickers,-0.006026329466292546,0.0005874805218615195,36.0
33312,Kai Wallin,San Diego State,REDG,EDGE,73,kai wallin,-0.019815302092325397,0.06448284361689487,432.0
33314,Branden Ganashamoorthy,Washington State,WR,WR,69,branden ganashamoorthy,-0.06452283898915934,-0.040463062473272,107.5
33316,Michael Hughes,Washington State,REDG,EDGE,68,michael hughes,-0.01587729135679102,-0.008657311284473545,37.0
33317,Gage Jones,Washington State,SAM,LB,70,gage jones,-0.10399914086364398,-0.05172868885173466,179.5
33318,Kyle Martin,Washington State,C,OL,74,kyle martin,-0.08878260508588949,-0.009871499532287682,723.0
